iter	Passed	Remaining
0	407	407385
1	414	206850
2	419	139369
3	424	105741
4	429	85531
5	435	72068
6	439	62396
7	448	55606
8	452	49862
9	458	45359
10	463	41672
11	468	38569
12	473	35968
13	478	33684
14	492	32347
15	498	30651
16	503	29093
17	507	27687
18	514	26548
19	520	25484
20	527	24580
21	532	23653
22	536	22778
23	541	22013
24	547	21369
25	551	20678
26	558	20121
27	563	19554
28	568	19043
29	575	18615
30	580	18155
31	585	17708
32	589	17283
33	592	16827
34	594	16384
35	596	15972
36	602	15683
37	604	15299
38	605	14930
39	607	14573
40	608	14237
41	611	13938
42	614	13671
43	617	13421
44	619	13156
45	621	12888
46	622	12629
47	624	12381
48	625	12142
49	627	11918
50	630	11726
51	631	11515
52	632	11307
53	634	11112
54	636	10932
55	637	10754
56	639	10577
57	643	10445
58	645	10288
59	648	10159
60	650	10015
61	652	9866
62	653	9724
63	656	9607
64	659	9481
65	662	9372
66	664	9248
67	665	9127
68	667	9004
69	668	8885
70	671	8792
71	675	8705
72	677	8600
73	678	8494
74	680	8392
75	682	8292
76	683	8193
77	685	8099
78	687	8015
79	690	7943
80	692	7853
81	693	7766
82	694	7673
83	695	7589
84	697	7507
85	699	7429
86	701	7365
87	703	7294
88	705	7225
89	707	7155
90	709	7085
91	710	7015
92	713	6959
93	716	6908
94	718	6844
95	720	6780
96	721	6717
97	723	6658
98	724	6598
99	728	6559
100	731	6506
101	733	6454
102	734	6400
103	736	6344
104	737	6288
105	739	6234
106	740	6180
107	743	6140
108	746	6100
109	748	6056
110	749	6006
111	751	5958
112	752	5910
113	754	5862
114	755	5816
115	759	5786
116	760	5738
117	761	5693
118	763	5651
119	765	5610
120	766	5568
121	767	5525
122	770	5491
123	772	5455
124	773	5414
125	774	5375
126	775	5333
127	777	5296
128	779	5260
129	780	5222
130	781	5184
131	782	5148
132	784	5114
133	786	5083
134	788	5049
135	789	5014
136	790	4981
137	792	4947
138	793	4914
139	794	4883
140	797	4859
141	802	4846
142	803	4817
143	805	4788
144	807	4760
145	808	4730
146	809	4700
147	811	4669
148	812	4641
149	814	4617
150	816	4593
151	818	4566
152	820	4540
153	822	4515
154	823	4490
155	825	4465
156	826	4439
157	828	4415
158	830	4391
159	831	4366
160	832	4338
161	833	4313
162	835	4288
163	836	4265
164	838	4242
165	839	4219
166	841	4196
167	842	4173
168	844	4150
169	845	4126
170	846	4104
171	847	4081
172	849	4058
173	850	4036
174	851	4013
175	852	3991
176	853	3970
177	855	3949
178	856	3928
179	857	3906
180	858	3886
181	860	3867
182	861	3847
183	863	3827
184	864	3807
185	865	3787
186	867	3770
187	868	3751
188	869	3732
189	871	3713
190	872	3694
191	873	3676
192	874	3658
193	876	3639
194	877	3621
195	878	3603
196	879	3585
197	880	3567
198	881	3549
199	883	3532
200	884	3515
201	885	3497
202	886	3481
203	887	3464
204	889	3448
205	890	3431
206	891	3415
207	892	3398
208	893	3382
209	895	3367
210	896	3352
211	897	3336
212	899	3321
213	900	3306
214	901	3291
215	902	3276
216	906	3270
217	908	3258
218	909	3243
219	910	3229
220	912	3214
221	913	3202
222	915	3189
223	916	3175
224	918	3162
225	920	3151
226	921	3139
227	923	3126
228	924	3113
229	925	3099
230	927	3086
231	928	3073
232	929	3060
233	930	3047
234	932	3034
235	933	3022
236	934	3009
237	936	2997
238	937	2984
239	938	2971
240	939	2959
241	941	2948
242	944	2941
243	948	2937
244	950	2930
245	952	2919
246	954	2908
247	955	2897
248	957	2887
249	959	2879
250	961	2870
251	964	2862
252	966	2852
253	967	2841
254	969	2832
255	970	2821
256	972	2810
257	974	2801
258	975	2790
259	976	2780
260	980	2775
261	982	2767
262	984	2758
263	985	2748
264	987	2738
265	988	2728
266	990	2717
267	991	2708
268	994	2703
269	996	2695
270	998	2685
271	1000	2676
272	1001	2667
273	1003	2658
274	1004	2648
275	1005	2638
276	1008	2631
277	1009	2622
278	1013	2617
279	1014	2608
280	1016	2600
281	1017	2591
282	1018	2581
283	1020	2571
284	1022	2564
285	1024	2558
286	1026	2549
287	1027	2540
288	1029	2532
289	1030	2523
290	1032	2514
291	1033	2505
292	1034	2496
293	1036	2488
294	1041	2488
295	1042	2480
296	1044	2473
297	1046	2464
298	1047	2456
299	1049	2448
300	1050	2439
301	1053	2435
302	1056	2429
303	1058	2424
304	1060	2416
305	1061	2408
306	1063	2400
307	1064	2392
308	1066	2384
309	1069	2379
310	1070	2371
311	1071	2362
312	1072	2354
313	1074	2346
314	1075	2338
315	1076	2330
316	1078	2322
317	1079	2314
318	1080	2306
319	1082	2300
320	1084	2293
321	1085	2286
322	1086	2278
323	1088	2270
324	1089	2262
325	1090	2255
326	1092	2247
327	1093	2240
328	1094	2233
329	1096	2225
330	1098	2220
331	1099	2213
332	1101	2206
333	1103	2200
334	1105	2194
335	1108	2190
336	1110	2184
337	1112	2178
338	1115	2175
339	1117	2169
340	1120	2165
341	1121	2158
342	1123	2151
343	1124	2145
344	1127	2141
345	1129	2134
346	1131	2128
347	1132	2121
348	1133	2114
349	1134	2107
350	1136	2101
351	1137	2094
352	1139	2088
353	1141	2082
354	1142	2075
355	1143	2068
356	1144	2061
357	1145	2055
358	1147	2048
359	1148	2042
360	1150	2035
361	1152	2030
362	1153	2024
